Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.8915;0.8921;0.8915;0.8915;0.8639;0.8746;0.8639;0.8642;0.8333;0.8489;0.8333;0.8352;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
DecisionTreeClassifier;0.8923;0.8937;0.8923;0.8924;0.8776;0.8857;0.8776;0.8779;0.8333;0.8489;0.8333;0.8352;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
DecisionTreeClassifier;0.8934;0.8941;0.8934;0.8933;0.8912;0.8922;0.8912;0.891;0.8333;0.8386;0.8333;0.8348;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=612)
DecisionTreeClassifier;0.8908;0.8914;0.8908;0.8905;0.8878;0.904;0.8878;0.8897;0.8333;0.8411;0.8333;0.8346;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 424};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=424)
DecisionTreeClassifier;0.89;0.8916;0.89;0.89;0.8741;0.8802;0.8741;0.8757;0.8333;0.8411;0.8333;0.8346;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=512)
DecisionTreeClassifier;0.898;0.8985;0.898;0.8979;0.8605;0.8711;0.8605;0.8625;0.8333;0.8444;0.8333;0.8345;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 612};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=612)
DecisionTreeClassifier;0.893;0.8942;0.893;0.893;0.9116;0.9129;0.9116;0.9117;0.8333;0.8355;0.8333;0.8341;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 512};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=512)
KNeighborsClassifier;0.8738;0.8749;0.8738;0.8736;0.8912;0.8963;0.8912;0.8925;0.8333;0.8405;0.8333;0.8338;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
RandomForestClassifier;0.9074;0.9099;0.9074;0.9076;0.8946;0.8965;0.8946;0.895;0.8333;0.8405;0.8333;0.8338;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9116;0.9132;0.9116;0.9119;0.881;0.8823;0.881;0.881;0.8333;0.8405;0.8333;0.8338;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
RandomForestClassifier;0.9051;0.907;0.9051;0.9051;0.932;0.9322;0.932;0.9319;0.8333;0.8347;0.8333;0.8337;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
RandomForestClassifier;0.9059;0.9075;0.9059;0.9061;0.9252;0.9262;0.9252;0.9244;0.8333;0.8347;0.8333;0.8337;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 699};RandomForestClassifier(n_estimators=20, random_state=699)
